Sectorial Entidad Proyecto Fuente,,,,INICIAL,Codificado Enero,Devengado Enero,Pagado Enero,Codificado Febrero,Devengado Febrero,Pagado Febrero,Codificado Marzo,Devengado Marzo,Pagado Marzo,Codificado Abril,Devengado Abril,Pagado Abril,Codificado Mayo,Devengado Mayo,Pagado Mayo,Codificado Junio,Devengado Junio,Pagado Junio,Codificado Julio,Devengado Julio,Pagado Julio,Codificado Agosto,Devengado Agosto,Pagado Agosto,Codificado Septiembre,Devengado Septiembre,Pagado Septiembre,Codificado Octubre,Devengado Octubre,Pagado Octubre,Codificado Noviembre,Devengado Noviembre,Pagado Noviembre,Codificado Diciembre,Devengado Diciembre,Pagado Diciembre
00 - TESORO NACIONAL,996 - INGRESOS Y TRANSFERENCIAS,001  - ESTUDIO DE PROSPECCIÓN  EXPLORACIÓN AVANZADA DEL PROYECTO TELIMBELA HASTA LA DETERMINACIÓN DE RECURSOS INFERIDO,001 - Recursos Fiscales,1832528.12,0,0,0,0,0,0,0,0,0,410841.72,0,0,410841.72,0,0,410841.72,45592,45592,216276.51,64300,64300,216276.51,86256,86256,216276.51,86256,86256,216276.51,86256,86256,240596.25,157428.26,157428.26,240596.25,206367.89,206367.89
,,001  - PROGRAMA DE INVERSION ECUADOR ESTRATEGICO MACRO SECTOR SOCIAL SECTORES SALUD CULTURA EQUIPAMIENTO URBANO Y VIVIENDA PROTECCION SOCIAL Y FAMILIAR Y DEPORTE,001 - Recursos Fiscales,0,7825384.5,0,0,10046698.22,912161.91,912161.91,100348785.2,50269279.23,50269279.23,122285205.2,65213822.22,65213822.22,124796554.1,71224929.38,71224929.38,126177042.6,77292084.95,77292084.95,91143343.43,85145420.62,85145420.62,91143343.43,86753142.56,86753142.56,110195319.5,87630529.27,87630529.27,110195319.5,87630529.27,87630529.27,110195319.5,99169990.9,99169990.9,110195319.5,99169990.9,99169990.9
,,002  - ESTUDIO DE PROSPECCION Y EXPLORACION Y PREFACTIBILIDAD DE EXPLOTACION DEL AREA MINERA TOLA NORTE,001 - Recursos Fiscales,1500000,22710.2,0,0,22710.2,0,0,22710.2,0,0,38623.22,0,0,38623.22,0,0,38623.22,0,0,2686.92,0,0,2686.92,0,0,2686.92,0,0,2686.92,0,0,10126.92,2686.92,2686.92,7440,7121.84,7121.84
,,003  - ESTUDIO DE PROSPECCIÓN EXPLORACION Y PREFACTIBILIDAD DE EXPLOTACION EN EL AREA MINERA EL TORNEADO,001 - Recursos Fiscales,1865334.75,38557.18,0,0,38557.18,0,0,38557.18,0,0,437049.54,0,0,437049.54,0,0,437049.54,51440,51440,269443.81,71004,71004,269443.81,98096,98096,269443.81,98096,98096,269443.81,98096,98096,237981.07,154391.04,154391.04,239053.34,220691.49,220691.49
,,004  - EXPLORACION AVANZADA DEL AREA MINERA PACTO PARA LA DETERMINACION DE LOS RECURSOS MINEROS,001 - Recursos Fiscales,1081070.26,0,0,0,0,0,0,0,0,0,58527.14,0,0,58527.14,0,0,58527.14,2777,2777,67636.6,8679,8679,67636.6,13050,13050,33818.3,13050,13050,33818.3,13050,13050,47688.84,26210.49,26210.49,47688.84,36044.97,36044.97
,,005  - ESTUDIO DE PROSPECCIÓN Y EXPLORACION Y PREFACTIBILIDAD DE EXPLOTACIÓN NIVEL CONCEPTUAL DEL AREA MINERA LLURIMAG,001 - Recursos Fiscales,13550.95,0,0,0,0,0,0,0,0,0,216106.38,0,0,216106.38,0,0,216106.38,29401,29401,124843.98,53575,53575,124843.98,69915,69915,124843.98,69915,69915,124843.98,69915,69915,130561.68,83256.28,83256.28,130561.68,118789.55,118789.55
,,006  - PROYECTO DE EXPLOTACION MINERA DEL ALUVIAL RIO SANTIAGO,001 - Recursos Fiscales,489971.22,19086,0,0,19086,0,0,19086,0,0,20505.36,0,0,20505.36,0,0,20505.36,0,0,20352.36,0,0,20352.36,0,0,20352.36,0,0,20352.36,0,0,20505,0,0,20505,0,0
,,007  - PROYECTO DE PREFACTIBILIDAD MINERA DEL AREA LA BONITA,001 - Recursos Fiscales,1000000,0,0,0,0,0,0,0,0,0,682101.52,0,0,682101.52,0,0,682101.52,74069,74069,429374.66,145036,145036,429374.66,172839.86,172839.86,429374.66,172839.86,172839.86,429374.66,172839.86,172839.86,409583.01,258033.62,258033.62,409583.01,316784.61,316784.61
,,008  - EXPLOTACION MINERO METALÚRGICA DE ALUVIAL EN EL RIO CONGUIME,001 - Recursos Fiscales,200000,0,0,0,0,0,0,0,0,0,36066.95,0,0,36066.95,0,0,36066.95,0,0,7725.1,0,0,7725.1,0,0,3862.57,0,0,3862.57,0,0,1822.12,0,0,1822.12,0,0
,,009  - PROYECTO DE PEQUEÑA MINERÍA RÍO HUAMBUNO,001 - Recursos Fiscales,200000,0,0,0,0,0,0,0,0,0,7623,0,0,7623,0,0,7623,0,0,4214.14,648,648,4214.14,1076.57,1076.57,4214.14,1076.57,1076.57,4214.14,1076.57,1076.57,7623.01,4214.14,4214.14,7623.01,6034.65,6034.65
