Sectorial Entidad Proyecto Fuente,,,,INICIAL,Codificado Enero,Devengado Enero,Pagado Enero,Codificado Febrero,Devengado Febrero,Pagado Febrero,Codificado Marzo,Devengado Marzo,Pagado Marzo,Codificado Abril,Devengado Abril,Pagado Abril,Codificado Mayo,Devengado Mayo,Pagado Mayo,Codificado Junio,Devengado Junio,Pagado Junio,Codificado Julio,Devengado Julio,Pagado Julio,Codificado Agosto,Devengado Agosto,Pagado Agosto,Codificado Septiembre,Devengado Septiembre,Pagado Septiembre,Codificado Octubre,Devengado Octubre,Pagado Octubre,Codificado Noviembre,Devengado Noviembre,Pagado Noviembre,Codificado Diciembre,Devengado Diciembre,Pagado Diciembre
00 - SECTORIAL TESORO NACIONAL,996 - INGRESOS Y TRANSFERENCIAS,001  - ESTUDIO DE PROSPECCIÓN  EXPLORACIÓN AVANZADA DEL PROYECTO TELIMBELA HASTA LA DETERMINACIÓN DE RECURSOS INFERIDO,202 - Préstamos Externos,1763,1763,0,0,1763,0,0,1763,0,0,1763,0,0,1763,0,0,2349.67,0,0,2349.67,0,0,2349.67,0,0,2349.67,0,0,2511.91,0,0,2511.91,0,0,2511.91,2349.67,2349.67
,,001  - PROGRAMA DE INVERSION ECUADOR ESTRATEGICO MACRO SECTOR SOCIAL SECTORES SALUD CULTURA EQUIPAMIENTO URBANO Y VIVI,006 - Compensación por Leyes y Decretos,0,0,0,0,14667510.4,0,0,14667510.4,0,0,18760550.84,0,0,18760550.84,0,0,15510550.84,0,0,15510550.84,0,0,15510550.84,0,0,18802973.67,0,0,18802973.67,3832063.01,3832063.01,18802973.67,5240845.26,5240845.26,18802973.67,5240845.26,5240845.26
,,,201 - Colocaciones Externas,0,0,0,0,8000000,3811476.62,3811476.62,8000000,3811476.62,3811476.62,8000000,4804351.06,4804351.06,8000000,6372648.02,6372648.02,8000000,6372648.02,6372648.02,8000000,6543287.02,6543287.02,13000000,6543287.02,6543287.02,13000000,8372494.67,8372494.67,13000000,9045199.47,9045199.47,13000000,9045199.47,9045199.47,13000000,9045199.47,9045199.47
,,,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,002  - PROGRAMA DE INVERSION ECUADOR ESTRATEGICO - FUENTE BEI,006 - Compensación por Leyes y Decretos,2882192,2882192,0,0,2882192,0,0,2882192,0,0,2882192,0,0,2882192,0,0,2882192,0,0,2882192,8800,8800,2882192,8800,8800,2882192,15778.55,15778.55,2882192,15778.55,15778.55,2882192,238661.62,238661.62,2882192,627919.67,238661.62
,,,202 - Préstamos Externos,16914273,16914273,0,0,16914273,0,0,16914273,0,0,16914273,1528223.76,1528223.76,16914273,1528223.76,1528223.76,16914273,1528223.76,1528223.76,16914273,1528223.76,1528223.76,16914273,1528223.76,1528223.76,16914273,1528223.76,1528223.76,6914273,1528223.76,1528223.76,3914273,2472035.82,2472035.82,3914273,2472035.82,2472035.82
,,003  - ESTUDIO DE PROSPECCIÓN EXPLORACIÓN Y PREFACTIBILIDAD DE EXPLOTACIÓN EN EL ÁREA MINERA EL TORNEADO,202 - Préstamos Externos,1125,1125,0,0,1125,0,0,1125,0,0,1125,0,0,1125,0,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1337.76,0,0,1337.76,0,0,1337.76,1045,1045
,,004  - EXPLORACIÓN AVANZADA DEL ÁREA MINERA PACTO PARA LA DETERMINACIÓN DE LOS RECURSOS MINEROS,202 - Préstamos Externos,77897,77897,0,0,77897,0,0,77897,0,0,77897,0,0,77897,0,0,25484,2120,2120,25484,2120,2120,25484,2120,2120,25484,2120,2120,25484,2120,2120,3062.22,2120,2120,3062.22,3062.22,3062.22
,,005  - ESTUDIO DE PROSPECCIÓN Y EXPLORACION Y PREFACTIBILIDAD DE EXPLOTACIÓN NIVEL CONCEPTUAL DEL AREA MINERA LLURIMAG,202 - Préstamos Externos,224286,224286,0,0,224286,0,0,224286,0,0,224286,0,0,224286,0,0,267713.69,79645.23,79645.23,267713.69,98742.11,98742.11,267713.69,98742.11,98742.11,267713.69,98742.11,98742.11,267713.69,131465.44,131465.44,189894.52,131465.44,131465.44,189894.52,175748.54,160620.54
,,007  - PROYECTO DE PREFACTIBILIDAD MINERA DEL AREA LA BONITA,202 - Préstamos Externos,132057,132057,0,0,132057,0,0,132057,0,0,132057,0,0,132057,0,0,13346,3043.89,3043.89,13346,3043.89,3043.89,13346,3043.89,3043.89,13346,3043.89,3043.89,13346,3043.89,3043.89,4396.73,3043.89,3043.89,4396.73,3043.89,3043.89
