Sectorial Entidad Proyecto Fuente,,,,INICIAL,Codificado Enero,Devengado Enero,Pagado Enero,Codificado Febrero,Devengado Febrero,Pagado Febrero,Codificado Marzo,Devengado Marzo,Pagado Marzo,Codificado Abril,Devengado Abril,Pagado Abril,Codificado Mayo,Devengado Mayo,Pagado Mayo,Codificado Junio,Devengado Junio,Pagado Junio,Codificado Julio,Devengado Julio,Pagado Julio,Codificado Agosto,Devengado Agosto,Pagado Agosto,Codificado Septiembre,Devengado Septiembre,Pagado Septiembre,Codificado Octubre,Devengado Octubre,Pagado Octubre,Codificado Noviembre,Devengado Noviembre,Pagado Noviembre,Codificado Diciembre,Devengado Diciembre,Pagado Diciembre
00 - SECTORIAL TESORO NACIONAL,996 - INGRESOS Y TRANSFERENCIAS,002  - PROGRAMA DE INVERSION ECUADOR ESTRATEGICO - FUENTE,202 - Préstamos Externos,1576384.17,1576384.17,0,0,1576384.17,0,0,1576384.17,0,0,1576384.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,004  - EXPLORACION AVANZADA DEL AREA MINERA PACTO PARA LA DETERMINACION DE LOS RECURSOS MINEROS,202 - Préstamos Externos,25484,25484,0,0,25484,0,0,25484,0,0,25484,0,0,25484,0,0,25484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,005  - ESTUDIO DE PROSPECCION Y EXPLORACION Y PREFACTIBIL,202 - Préstamos Externos,238026,238026,0,0,238026,0,0,238026,0,0,238026,0,0,238026,0,0,238026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,007  - PROYECTO DE PREFACTIBILIDAD MINERA DEL AREA LA BON,202 - Préstamos Externos,10786,10786,0,0,10786,0,0,10786,0,0,10786,0,0,10786,0,0,10786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,013  - PROGRAMA DE INVERSION ECUADOR ESTRATEGICO MACRO SECTOR SOCIAL SECTORES SALUD CULTURA EQUIPAMIENTO URBANO Y VIVI,006 - Compensación por Leyes y Decretos,3849588.62,3849588.62,0,0,3849588.62,0,0,3849588.62,0,0,3849588.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,014  - PROGRAMA DE INVERSION ECUADOR ESTRATEGICO MACRO SE,202 - Préstamos Externos,1007675.33,1007675.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,018  - PROGRAMA DE INVERSION ECUADOR ESTRATEGICO 2012,202 - Préstamos Externos,636850.18,636850.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,024  - PROYECTO CIUDAD DEL CONOCIMIENTO,202 - Préstamos Externos,2370208.93,2370208.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,077  -   PROYECTO DE DESARROLLO MINERO   SAN FRANCISCO DE MUYUYACU,202 - Préstamos Externos,51597.15,51597.15,0,0,51597.15,0,0,51597.15,0,0,51597.15,0,0,51597.15,0,0,51597.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,081  - CONSTRUCCION DEL MALECON DEL MARGEN IZQUIERDO AGUAS ABAJO DEL RIO NAPO EN LA PARROQUIA PUERTO NAPO CANTON TENA,202 - Préstamos Externos,1212302.33,1212302.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,086  - DESVINCULACION DE PERSONAL DE 8 EMPRESAS PUBLICAS COORDINADAS POR EMCO EP PARA OPTIMIZAR EL TAMAÑO DEL ESTADO,202 - Préstamos Externos,38426535.73,38426535.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,087  - PROGRAMA DE PRESERVACION DE CAPITAL - PERIODO 2021,001 - Recursos Fiscales,0,0,0,0,0,0,0,0,0,0,0,0,0,13033236.38,0,0,13033236.38,0,0,13033236.38,0,0,13033236.38,0,0,13033236.38,0,0,13033236.38,0,0,13033236.38,0,0,13033236.38,0,0
,,,201 - Colocaciones Externas,0,0,0,0,0,0,0,0,0,0,0,0,0,63891809.47,0,0,63891809.47,0,0,63891809.47,0,0,63891809.47,0,0,63891809.47,0,0,63891809.47,0,0,748913319.4,0,0,0,0,0
,,,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973969.77,0,0,374373154.3,374373154.3,0
,,,301 - Colocaciones Internas,0,0,0,0,0,0,0,0,0,0,0,0,0,37971596.71,0,0,33474661.61,0,0,33474661.61,0,0,33474661.61,0,0,33474661.61,0,0,33474661.61,0,0,0,0,0,0,0,0
,997 - DEUDA PUBLICA,001  - PROGRAMA DE PRESERVACION DE CAPITAL - PERIODO 2021,201 - Colocaciones Externas,0,0,0,0,0,0,0,0,0,0,764588953.1,0,0,764588953.1,0,0,764588953.1,0,0,764588953.1,0,0,764588953.1,0,0,764588953.1,0,0,15106640.67,0,0,0,0,0,0,0,0
,,,202 - Préstamos Externos,0,0,0,0,0,0,0,0,0,0,131337911.1,0,0,882811549.8,355059581.8,355059581.8,883251333.1,355452302.2,355059581.8,883251333.1,355452302.2,355059581.8,883251333.1,355452302.2,355452302.2,883251333.1,355452302.2,355452302.2,1632733646,517196468.8,355452302.2,1145441492,893516812.9,598893173.9,1145441492,1088628189,1088628189
,,,301 - Colocaciones Internas,0,0,0,0,0,0,0,0,0,0,2608336094,0,0,1856862455,0,0,1856422672,247327682.6,0,1856422672,382673986.4,0,1856422672,544366131.4,387604278.2,1856422672,788052106.2,683424262.8,1856422672,1470827189,999742836.2,1562736986,1481214756,1477083103,1632736986,1583777583,1583777583
01 - SECTORIAL LEGISLATIVO,001 - ASAMBLEA NACIONAL,002  - PROYECTO DE OPTIMIZACION DEL TALENTO HUMANO DE LA ASAMBLEA NACIONAL,202 - Préstamos Externos,1931660,1931660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 - SECTORIAL JURISDICCIONAL,010 - CONSEJO DE LA JUDICATURA,001  - CREACION Y MEJORAMIENTO DE LA INFRAESTRUCTURA CIVIL JUDICIAL AJUSTADA AL NUEVO MODELO DE GESTION DE LA JUSTICIA.,202 - Préstamos Externos,390328.2,390328.2,23074.19,23074.19,55342.58,24833.9,24833.9,390328.2,50073.41,50073.41,390328.2,94623.99,94623.99,390328.2,122538.58,122335.75,390328.2,131204.74,131204.74,390328.2,178438.25,155364.06,390328.2,207197.84,207197.84,390328.2,230809.13,230809.13,390328.2,256639.78,256639.78,390328.2,280321.6,280321.6,314992.76,314992.76,314992.76
,,003  - IMPULSAR LA MEJORA PERMANENTE Y MODERNIZACION DE LOS SERVICIOS,202 - Préstamos Externos,5186083.71,5186083.71,10421.64,10421.64,563544.32,11216.98,11216.98,5028759.73,23650.94,23650.94,5028759.73,56039.58,56039.58,5028759.73,683135.91,136445.64,5028759.73,783721.33,160026.31,5028759.73,795546.8,704788.7,5028759.73,923527.83,833418.5,5028759.73,1075410.44,1004486.97,5028759.73,1094602.48,1092231.74,5028759.73,2272202.73,1851157.85,3494744.59,2568987.09,2568987.09
,,,701 - Asistencia Tecnica y Donaciones,0,0,0,0,157323.98,0,0,157323.98,0,0,157323.98,0,0,157323.98,1185.37,0,157323.98,1185.37,0,157323.98,13977.75,12792.38,157323.98,14234.02,14154.02,157323.98,14234.02,14234.02,157323.98,14481.68,14357.85,157323.98,27395.91,19472.08,157323.98,41837.66,41837.66
,,,998 - ANTICIPOS DE EJERCICIOS ANTERIORES,2447880.08,2447880.08,0,0,2447880.08,0,0,2447880.08,0,0,2447880.08,0,0,2447880.08,5997.22,0,2447880.08,86333.68,0,2447880.08,86333.68,5997.22,2447880.08,176443.02,86333.68,2447880.08,285647.18,214723.69,2447880.08,285647.18,285647.18,2005065.86,910216.22,818211.33,2005065.86,1192309.22,1192309.22
,,005  - COMBATIR LA IMPUNIDAD DE LOS DELITOS A NIVEL NACIONAL,202 - Préstamos Externos,135068.45,135068.45,0,0,0,0,0,135068.45,0,0,135068.45,0,0,135068.45,0,0,135068.45,0,0,135068.45,6918.31,1514.82,135068.45,6918.31,6918.31,135068.45,6918.31,6918.31,135068.45,6918.31,6918.31,42068.45,6918.31,6918.31,6918.31,6918.31,6918.31
,,,998 - ANTICIPOS DE EJERCICIOS ANTERIORES,585187.05,585187.05,0,0,585187.05,0,0,585187.05,0,0,585187.05,0,0,585187.05,0,0,585187.05,0,0,585187.05,2755.95,0,585187.05,2755.95,2755.95,585187.05,2755.95,2755.95,585187.05,2755.95,2755.95,2756.95,2755.95,2755.95,2756.95,2755.95,2755.95
,,006  - DESVINCULACION DE SERVIDORES DEL CONSEJO DE LA JUDICATURA A NIVEL NACIONAL,202 - Préstamos Externos,1724422.5,1724422.5,0,0,0,0,0,1726662.5,0,0,1726662.5,0,0,1726662.5,0,0,1726662.5,0,0,1726662.5,0,0,1726662.5,1564680,1301097.5,1726662.5,1666012.5,1618665,1726662.5,1717490,1717490,1726662.5,1717490,1717490,1722210,1722210,1722210
,,006  - PLAN ARTICULADO DE OPTIMIZACION DE UNIDADES JUDICI,202 - Préstamos Externos,2240,2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2240,0,0,95240,0,0,95240,95240,95240
,,,998 - ANTICIPOS DE EJERCICIOS ANTERIORES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000,0,0,75000,75000,75000
,,007  - PROGRAMA DE REFORMA INSTITUCIONAL DE LA GESTION PUBLICA,202 - Préstamos Externos,9108676.96,9108676.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,591  - CREACION Y MEJORAMIENTO DE LA INFRAESTRUCTURA CIVIL JUDICIAL AJUSTADA AL NUEVO MODELO DE GESTION DE LA JUSTICIA.,202 - Préstamos Externos,505319.95,505319.95,0,0,0,0,0,505319.95,0,0,505319.95,0,0,505319.95,11886.69,1852.47,505319.95,11886.69,1852.47,505319.95,11886.69,11886.69,505319.95,17238.15,12720.68,505319.95,17238.15,17238.15,503079.95,17238.15,17238.15,503079.95,17238.15,17238.15,2126227.67,2091334.28,2091334.28
