Sectorial Entidad Proyecto Fuente,,,,INICIAL,Codificado Enero,Devengado Enero,Pagado Enero,Codificado Febrero,Devengado Febrero,Pagado Febrero,Codificado Marzo,Devengado Marzo,Pagado Marzo,Codificado Abril,Devengado Abril,Pagado Abril,Codificado Mayo,Devengado Mayo,Pagado Mayo,Codificado Junio,Devengado Junio,Pagado Junio,Codificado Julio,Devengado Julio,Pagado Julio,Codificado Agosto,Devengado Agosto,Pagado Agosto,Codificado Septiembre,Devengado Septiembre,Pagado Septiembre,Codificado Octubre,Devengado Octubre,Pagado Octubre,Codificado Noviembre,Devengado Noviembre,Pagado Noviembre,Codificado Diciembre,Devengado Diciembre,Pagado Diciembre
00 - SECTORIAL TESORO NACIONAL,996 - INGRESOS Y TRANSFERENCIAS,001  - ESTUDIO DE PROSPECCIÓN  EXPLORACIÓN AVANZADA DEL PROYECTO TELIMBELA HASTA LA DETERMINACIÓN DE RECURSOS INFERIDO,001 - Recursos Fiscales,43005.07,43005.07,0,0,43005.07,0,0,43005.07,0,0,43005.07,0,0,43005.07,0,0,43005.07,0,0,35032.87,0,0,35032.87,0,0,35032.87,0,0,35032.87,0,0,35032.87,0,0,0,0,0
,,001  - PROGRAMA DE INVERSION ECUADOR ESTRATEGICO MACRO SECTOR SOCIAL SECTORES SALUD CULTURA EQUIPAMIENTO URBANO Y VIVI,001 - Recursos Fiscales,0,0,0,0,0,0,0,53305036.18,10000000,10000000,53305036.18,17150000,17150000,53305036.18,17150000,17150000,53305036.18,25650000,25650000,53305036.18,25650000,25650000,53305036.18,25650000,25650000,53305036.18,25650000,25650000,53305036.18,32983855.33,32983855.33,53305036.18,32983855.33,32983855.33,40231651.83,40231651.83,40231651.83
,,002  - PROGRAMA DE INVERSION ECUADOR ESTRATEGICO - FUENTE BEI,001 - Recursos Fiscales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13551707.28,0,0,13551707.28,0,0,13551707.28,0,0,13551707.28,0,0,0,0,0
,,003  - ESTUDIO DE PROSPECCIÓN EXPLORACIÓN Y PREFACTIBILIDAD DE EXPLOTACIÓN EN EL ÁREA MINERA EL TORNEADO,001 - Recursos Fiscales,12389.5,12389.5,0,0,12389.5,0,0,12389.5,0,0,12389.5,0,0,12389.5,0,0,12389.5,0,0,4554.44,0,0,4554.44,0,0,4554.44,0,0,4554.44,0,0,4554.44,0,0,0,0,0
,,004  - EXPLORACIÓN AVANZADA DEL ÁREA MINERA PACTO PARA LA DETERMINACIÓN DE LOS RECURSOS MINEROS,001 - Recursos Fiscales,59950,59950,0,0,59950,0,0,59950,0,0,58363.99,0,0,58363.99,0,0,58363.99,0,0,48581.86,0,0,48581.86,0,0,48581.86,0,0,48581.86,0,0,48581.86,0,0,0,0,0
,,005  - ESTUDIO DE PROSPECCIÓN Y EXPLORACION Y PREFACTIBILIDAD DE EXPLOTACIÓN NIVEL CONCEPTUAL DEL AREA MINERA LLURIMAG,001 - Recursos Fiscales,150901.76,150901.76,0,0,150901.76,0,0,150901.76,0,0,148569.16,0,0,148569.16,0,0,148569.16,0,0,108941,0,0,108941,0,0,108941,0,0,108941,0,0,90141,0,0,0,0,0
,,006  - PROYECTO DE EXPLOTACION MINERA DEL ALUVIAL RIO SANTIAGO,001 - Recursos Fiscales,20505,20505,0,0,20505,0,0,20505,0,0,20505,0,0,20505,0,0,20505,0,0,20505,0,0,20505,0,0,20505,0,0,20505,0,0,20505,0,0,0,0,0
,,009  - PROYECTO DE PEQUEÑA MINERÍA RÍO HUAMBUNO,001 - Recursos Fiscales,14000,14000,0,0,14000,0,0,14000,0,0,12000,0,0,12000,0,0,12000,0,0,10000,0,0,10000,0,0,10000,0,0,10000,0,0,6400,0,0,0,0,0
,,013  - PROGRAMA DE INVERSIÓN ECUADOR ESTRATÉGICO MACRO SECTOR SOCIAL SECTORES SALUD  CULTURA  EQUIPAMIENTO URBANO Y VI,001 - Recursos Fiscales,78000000,78000000,0,0,78000000,0,0,24694963.82,0,0,2260806.77,0,0,2260806.77,0,0,2260806.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,014  - PROGRAMA DE INVERSIÓN ECUADOR ESTRATÉGICO MACRO SECTOR FOMENTO A LA PRODUCCIÓN SECTORES FOMENTO A LA PRODUCCIÓN,001 - Recursos Fiscales,0,0,0,0,0,0,0,0,0,0,2915532.34,0,0,2915532.34,0,0,2915532.34,0,0,2915532.34,0,0,2915532.34,0,0,2915532.34,0,0,2915532.34,0,0,2915532.34,0,0,0,0,0
,,016  - PROGRAMA DE INVERSIÓN ECUADOR ESTRATÉGICO MACRO SECTOR SECTORES ESTRATÉGICOS SECTORES ENERGÍA  AMBIENTE Y TELEC,001 - Recursos Fiscales,0,0,0,0,0,0,0,0,0,0,1151501.25,0,0,1151501.25,0,0,1151501.25,0,0,1151501.25,0,0,1151501.25,0,0,1151501.25,0,0,1151501.25,0,0,1151501.25,0,0,0,0,0
,,018  - PROGRAMA DE INVERSION ECUADOR ESTRATEGICO 2012,001 - Recursos Fiscales,0,0,0,0,0,0,0,0,0,0,18367123.46,0,0,18367123.46,0,0,18367123.46,0,0,18367123.46,0,0,18367123.46,0,0,18367123.46,0,0,18367123.46,0,0,18367123.46,0,0,0,0,0
,,024  - PROYECTO CIUDAD DEL CONOCIMIENTO,001 - Recursos Fiscales,71869269.27,71869269.27,0,0,122811443.3,0,0,122811443.3,0,0,107811443.3,0,0,107811443.3,0,0,107023331.1,0,0,103210102.8,2989280.14,2989280.14,84886658.32,2989280.14,2989280.14,84886658.32,6922041.69,6922041.69,84886658.32,6922041.69,6922041.69,69401725.32,6922041.69,6922041.69,6922041.69,6922041.69,6922041.69
,,026  - CONTROL DE INUNDACIONES CAÑAR,001 - Recursos Fiscales,10897115.36,10897115.36,0,0,10897115.36,0,0,10897115.36,0,0,10894232.57,0,0,10144232.57,0,0,10144232.57,3033.6,3033.6,9664240.7,6067.2,6067.2,9664240.7,6067.2,6067.2,9664240.7,6067.2,6067.2,9664240.7,6067.2,6067.2,3000339.7,6067.2,6067.2,6067.2,6067.2,6067.2
,,027  - CONTROL DE INUNDACIONES NARANJAL,001 - Recursos Fiscales,2323918.68,2323918.68,0,0,2323918.68,0,0,2323918.68,0,0,2316187.6,0,0,2316187.6,0,0,2316187.6,8137.99,8137.99,1703670.96,15117.98,15117.98,1703670.96,15117.98,15117.98,1703670.96,15117.98,15117.98,1703670.96,15117.98,15117.98,1677005.96,15117.98,15117.98,15117.98,15117.98,15117.98
,,029  - TRASVASE CHONGON-SAN VICENTE,001 - Recursos Fiscales,35503.98,35503.98,0,0,1134796.7,0,0,1134796.7,0,0,1133420.15,0,0,1356749.33,0,0,1356749.33,1449,1449,233335.63,2512,2512,233335.63,2512,2512,233335.63,2512,2512,233335.63,2512,2512,7719.63,2512,2512,2512,2512,2512
,,030  - PROYECTO PROPOSITO MULTIPLE CHONE,001 - Recursos Fiscales,5192324.15,5192324.15,0,0,5192324.15,0,0,5192324.15,0,0,5188409.24,0,0,4615787.34,0,0,4615787.34,4419.16,4419.16,3091670.83,12928.48,12928.48,3091670.83,12928.48,12928.48,3091670.83,12928.48,12928.48,3091670.83,12928.48,12928.48,1495427.83,12928.48,12928.48,12928.48,12928.48,12928.48
,,032  - PROGRAMA NACIONAL DE MANTENIMIENTO Y OPERACIÓN DE INFRAESTRUCTURA,001 - Recursos Fiscales,12523722.43,12523722.43,0,0,12523722.43,0,0,12523722.43,0,0,12070471.16,0,0,12070471.16,0,0,12070471.16,340181.81,340181.81,7585358.56,622983.2,622983.2,7585358.56,622983.2,622983.2,7585358.56,622983.2,622983.2,7585358.56,622983.2,622983.2,7585358.56,622983.2,622983.2,622983.2,622983.2,622983.2
,,037  - CONTROL DE INUNDACIONES BULUBULU- CAÑAR,001 - Recursos Fiscales,2330544.24,2330544.24,0,0,2330544.24,0,0,2330544.24,0,0,2330544.24,0,0,2330544.24,0,0,2330544.24,0,0,1960672.09,0,0,1960672.09,0,0,1960672.09,0,0,1960672.09,0,0,719019.09,0,0,0,0,0
,,055  - INTERVENCION  AMPLIACION Y CONSTRUCCION DEL PLAN HIDRAULICO ACUEDUCTO SANTA ELENA,001 - Recursos Fiscales,61019798.32,61019798.32,0,0,59920505.6,0,0,59920505.6,0,0,41920505.6,0,0,43019798.32,0,0,43019798.32,24029335.6,24029335.6,42718893.85,25350218.23,25350218.23,42718893.85,30343829.8,30343829.8,42718893.85,35522099.7,35522099.7,48449641.13,36972919.32,36972919.32,46375847.13,37029653.91,37029653.91,42544059.34,42544059.34,42544059.34
,,056  - IMPLEMENTACION DE LA RED PRIMARIA DE TRANSPORTE PUBLICO PARA LA CIUDAD DE CUENCA TRANVIA DE LOS CUATRO RIOS,001 - Recursos Fiscales,50000000,67225386.61,5741795.54,5741795.54,67225386.61,5741795.54,5741795.54,67225386.61,8612693.31,8612693.31,67225386.61,11483591.08,11483591.08,67225386.61,17225386.62,17225386.62,67225386.61,18128573.34,18128573.34,67225386.61,18128573.34,18128573.34,67225386.61,18128573.34,18128573.34,67225386.61,18128573.34,18128573.34,67225386.61,18128573.34,18128573.34,67225386.61,18128573.34,18128573.34,18128573.34,18128573.34,18128573.34
,,057  - PROYECTO METRO DE QUITO,001 - Recursos Fiscales,78000000,78000000,0,0,78000000,0,0,173953484.8,112344010,112344010,173953484.8,169633453,169633453,173953484.8,169633453,169633453,173953484.8,169633453,169633453,217953484.8,213633453,213633453,227233240.8,222913209,222913209,427233240.8,422913209,422913209,427233240.8,422913209,422913209,427233240.8,422913209,422913209,478768327.8,474448296,474448296
,,076  - PROYECTO DE AMPLIACION TECNOLOGICA PARA LA GENERACION PROCESAMIENTO Y TRANSMISION DE TELEVISION DIGITAL Y DE AL,001 - Recursos Fiscales,1881952.94,1881952.94,0,0,1881952.94,0,0,1881952.94,0,0,1881952.94,0,0,1881952.94,0,0,1881952.94,0,0,1881952.94,0,0,1881952.94,0,0,1881952.94,0,0,1881952.94,0,0,1881952.94,0,0,13753347.81,13753347.81,13753347.81
,,077  - PROYECTO DE DESARROLLO MINERO SAN FRANCISCO DE MUYUYACU,001 - Recursos Fiscales,879000,879000,0,0,879000,0,0,879000,0,0,873345.18,0,0,873345.18,0,0,873345.18,0,0,749103.38,0,0,749103.38,0,0,749103.38,0,0,749103.38,0,0,705867.38,0,0,0,0,0
,,078  - SOSTENIBILIDAD FINANCIERA  TÉCNICA Y OPERACIONAL DEL SISTEMA FERROVIARIO ECUATORIANO. SUSTITUCIÓN DE DURMIENTES,001 - Recursos Fiscales,3512304,3512304,0,0,3512304,0,0,3512304,0,0,3512304,0,0,3512304,0,0,3512304,0,0,3512304,1657152,1657152,3512304,1657152,1657152,3512304,1657152,1657152,3512304,1657152,1657152,3512304,1756152,1756152,1756152,1756152,1756152
,,079  - PROGRAMA NACIONAL DE INVERSIONES EN AGUA SANEAMIENTO Y RESIDUOS SOLIDOS - PROSANEAMIENTO BID,001 - Recursos Fiscales,2378975.53,2378975.53,0,0,2378975.53,0,0,2378975.53,0,0,2378975.53,0,0,2378975.53,0,0,2378975.53,0,0,2378975.53,0,0,2378975.53,0,0,2378975.53,0,0,2378975.53,0,0,2378975.53,0,0,2378975.53,0,0
,,080  - PROGRAMA DE APOYO A LAS FINANZAS POPULARES EN LAS PROVINCIAS DE CARCHI SUCUMBIOS EL ORO Y LOJA,001 - Recursos Fiscales,1016860.06,1016860.06,0,0,1016860.06,0,0,1016860.06,0,0,1016860.06,0,0,1016860.06,0,0,1016860.06,0,0,1016860.06,0,0,1016860.06,0,0,1016860.06,0,0,1016860.06,0,0,1016860.06,0,0,0,0,0
,,081  - CONSTRUCCION DEL MALECON DEL MARGEN IZQUIERDO AGUAS ABAJO DEL RIO NAPO EN LA PARROQUIA PUERTO NAPO CANTON TENA,001 - Recursos Fiscales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 - SECTORIAL LEGISLATIVO,003 - PARLAMENTO ANDINO (OFICINA NACIONAL),001  - PROGRAMA DE REFORMA INSTITUCIONAL DE LA GESTION PUBLICA,001 - Recursos Fiscales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53100,0,0,53100,53100,53100
02 - SECTORIAL JURISDICCIONAL,010 - CONSEJO DE LA JUDICATURA,001  - CREACIÓN Y MEJORAMIENTO DE LA INFRAESTRUCTURA CIVIL JUDICIAL AJUSTADA AL NUEVO MODELO DE GESTIÓN DE LA JUSTICIA,001 - Recursos Fiscales,4335707.46,851551.69,69233.9,69233.9,929794.6,144165.84,144165.84,929794.6,219540,219540,929794.6,290989.48,290989.48,929794.6,360249.41,360249.41,929794.6,429509.34,429509.34,929794.6,493087.43,492940.99,929794.6,565516.69,565488.22,929794.6,632615.88,632615.88,929794.6,688617.71,687499.52,868070.76,752886.04,752886.04,844752.35,844752.35,834453.41
,,003  - IMPULSAR LA MEJORA PERMANENTE Y MODERNIZACIÓN DE LOS SERVICIOS,001 - Recursos Fiscales,14445792.5,9010045.15,1699195.29,697200.08,9129055.83,1833913.82,1831062.58,9129055.83,2442981.5,2014002.5,8671617.12,2653528.68,2171177.24,8671617.12,2777104.28,2294752.84,8671617.12,2915221.06,2419129.62,7423143.97,3112513.16,2987843.28,14263396.83,3251699.98,3180024.69,11589689.19,3450456.87,3372531.87,11589689.19,3947660.04,3574956,11366558.05,4068235.21,3758335.21,8971088.27,4354536.84,3930820.55
,,,998 - ANTICIPOS DE EJERCICIOS ANTERIORES,0,3365034.79,3000000,0,3365034.79,3000000,3000000,3365034.79,3000000,3000000,3365034.79,3000000,3000000,3365034.79,3000000,3000000,3365034.79,3000000,3000000,3365034.79,3000000,3000000,3365034.79,3000000,3000000,3365034.79,3000000,3000000,3365034.79,3244000,3000000,3365034.79,3244000,3000000,3244000,3244000,3000000
,,005  - COMBATIR LA IMPUNIDAD DE LOS DELITOS A NIVEL NACIONAL,001 - Recursos Fiscales,10816585.04,12992329.71,160308.63,160308.63,12466026.69,336969.34,332924.91,12443448.77,486102.61,486102.61,12373626.74,644049.79,644049.79,12373626.74,796305.68,796305.68,12373626.74,1252679.75,995367.69,7751416.03,1449215.12,1161542.21,7751416.03,1620571.7,1332906.63,8410687.34,1773613.95,1773613.95,8410687.34,1917524.79,1915801.99,5604610.43,2069157.66,2069157.66,3905759.62,2301153.46,2204515.26
,,,998 - ANTICIPOS DE EJERCICIOS ANTERIORES,0,0,0,0,50000,29336.32,29336.32,50000,29336.32,29336.32,50000,29336.32,29336.32,50000,29336.32,29336.32,212275,191611.32,29336.32,738600.34,191611.32,29336.32,738600.34,191611.32,29336.32,738600.34,191611.32,191611.32,738600.34,191611.32,191611.32,738600.34,191611.32,191611.32,212275,191611.32,191611.32
,,006  - DESVINCULACION DE SERVIDORES DEL CONSEJO DE LA JUDICATURA A NIVEL NACIONAL,001 - Recursos Fiscales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6693097.83,0,0,6638026.24,6638026.24,6638026.24
,,339  - PROGRAMA DE FORTALECIMIENTO DE LA FUNCION JUDICIAL 2011,001 - Recursos Fiscales,0,0,0,0,0,0,0,22577.92,0,0,22577.92,0,0,22577.92,19975.38,2140.22,22577.92,19975.38,19975.38,22577.92,19975.38,19975.38,22577.92,19975.38,19975.38,19975.39,19975.38,19975.38,19975.39,19975.38,19975.38,19975.39,19975.38,19975.38,19975.38,19975.38,19975.38
,,591  - CREACION Y MEJORAMIENTO DE LA INFRAESTRUCTURA CIVIL JUDICIAL AJUSTADA AL NUEVO MODELO DE GESTION DE LA JUSTICIA,001 - Recursos Fiscales,0,6744158.45,0,0,6540144.7,379196.8,379196.8,6540144.7,379196.8,379196.8,5789595.55,379196.8,379196.8,5789595.55,702668.3,438967.81,5789595.55,702668.3,438967.81,3120468.9,702668.3,438967.81,3120468.9,702668.3,702668.3,4931634.97,702668.3,702668.3,4931634.97,702668.3,702668.3,753561.23,702668.3,702668.3,708016.34,708016.34,703644.84
,,,998 - ANTICIPOS DE EJERCICIOS ANTERIORES,0,2169640.8,0,0,2119640.8,0,0,2119640.8,0,0,2119640.8,0,0,2083240.01,177596.74,0,1920965.01,177596.74,0,1394639.67,177596.74,0,1394639.67,177596.74,177596.74,1394639.67,177596.74,177596.74,1394639.67,177596.74,177596.74,1394639.67,177596.74,177596.74,310836.75,181664.31,181664.31
,,593  - CONSOLIDACION DE LA TRANSFORMACION Y CALIDAD DE LOS SERVICIOS DE JUSTICIA,001 - Recursos Fiscales,0,0,0,0,533063.18,0,0,533063.18,0,0,532569.18,0,0,532569.18,520,520,532569.18,82333.08,82333.08,261173.47,82333.08,82333.08,261173.47,82333.08,82333.08,467046.26,82333.08,82333.08,467046.26,82333.08,82333.08,467046.26,82333.08,82333.08,250093.48,82333.08,82333.08
,,,998 - ANTICIPOS DE EJERCICIOS ANTERIORES,0,0,0,0,0,0,0,14363.26,0,0,14363.26,0,0,50764.05,0,0,50764.05,36400.79,36400.79,50764.05,36400.79,36400.79,50764.05,36400.79,36400.79,50764.05,36400.79,36400.79,50764.05,36400.79,36400.79,50764.05,36400.79,36400.79,50764.05,36400.79,36400.79
,015 - DEFENSORIA PUBLICA,005  - FORTALECIMIENTO INSTITUCIONAL DE LA DEFENSORÍA PÚBLICA DEL ECUADOR,001 - Recursos Fiscales,524563.81,524563.81,0,0,524563.81,0,0,524563.81,0,0,524563.81,0,0,524563.81,0,0,524563.81,0,0,367194.67,0,0,367194.67,0,0,367194.67,0,0,367194.67,0,0,0,0,0,0,0,0
,,006  - MEJORAMIENTO DE LOS SERVICIOS DE LAS AREAS AGREGADORAS DE VALOR A NIVEL NACIONAL,001 - Recursos Fiscales,400000,400000,0,0,400000,0,0,400000,0,0,400000,0,0,400000,0,0,400000,0,0,280000,0,0,280000,0,0,280000,0,0,280000,0,0,280000,0,0,149864.54,2889.6,309.6
,,007  - REHABILITACION DEL EDIFICIO DE LA DEFENSORIA PUBLICA EN LA CIUDAD DE PORTOVIEJO COMO CONSECUENCIA DEL TERREMOTO,001 - Recursos Fiscales,610880,610880,0,0,610880,0,0,610880,0,0,610880,0,0,610880,0,0,610880,0,0,610880,0,0,610880,0,0,610880,0,0,610880,0,0,609992,0,0,0,0,0
